Date,4BitcoinCash,3XRP,1Bitcoin,2Ethereum,5Tether,7Litecoin,8EOS,9BinanceCoin,11Chainlink,13Stellar,16Monero
16/03/2018,16630711169,26944356526,141111773179,59103031871,2213928176,9208968693,3726256726,902148238,148547000,4254531069,3414993898
17/03/2018,16168562807,24934885930,133993486925,54312035489,2220732582,8516500296,3432523353,889912088,130851350,3824251593,3134067930
18/03/2018,15971701036,25752723731,139201713268,52934184182,2223969607,8580189410,3424567122,886358476,130668300,4078460519,3320407979
19/03/2018,16936492860,29284604563,146107514353,54722473140,2194674526,8976121254,4692060463,890407158,133575400,4628851811,3434242898
20/03/2018,18035635329,27749301270,150909503835,54777982164,2210116911,9405993910,4453655243,907060323,137099550,4970518636,3545417891
21/03/2018,17600286488,27118166203,151193917440,55237391316,2215464655,9421555108,5219753927,988357748,155897350,4723227612,3465334448
22/03/2018,17228587960,25909425483,147809220250,53082150649,2284812504,9124249896,5232646812,996704628,146752200,4511324898,3372204422
23/03/2018,17365238220,25144390549,150383574951,53084905906,2264806883,9358153821,5230233884,1162186726,143199000,4380276776,3392039587
24/03/2018,16734538466,25069759669,146818882936,51799123912,2307953795,8903292216,4969807656,1296004147,146679750,4366828864,3317365879
25/03/2018,16473439913,25093607148,143914265310,51598047955,2286422651,8931055242,4901277087,1265705863,142136750,4450855712,3359772593
26/03/2018,15663618221,23435542779,139078211968,48228842327,2294939964,8327233976,4449568753,1194247460,130023600,4245448887,3128694624
27/03/2018,14933976474,22593218558,132717053150,44316774118,2290823110,7579179651,4465933960,1139482816,119918750,4007540048,2982664705
28/03/2018,14665917656,22596541567,134788265876,43948072321,2285320249,7356010690,4764570075,1152562566,122978450,4067235919,3161594519
29/03/2018,12174626633,19997127300,121436043045,38016727209,2283991421,6404746988,4567119326,1009556645,98056350,3539805802,2808253919
30/03/2018,11881684759,19921199401,116786562165,38879465944,2284723306,6625396575,4646281232,1024834506,100622900,3501109263,2737373074
31/03/2018,11682407783,20030194925,118204645927,39066085342,2288901912,6515946056,4574166301,1094688883,98059850,3835854753,2852327630
01/04/2018,10963859523,18964009158,116026809075,37413407420,2286706257,6440292739,4335135885,1286574163,91553000,3832218919,2788621022
02/04/2018,11301621765,19574157342,120101932910,38093277842,2287438142,6670329213,4518128380,1467302827,95789400,4171621676,2820950579
03/04/2018,12157350124,21816462667,126429245883,41105280498,2287987056,7520099456,4720001687,1553336414,103415550,4372281883,3012783096
04/04/2018,11072508447,19611023475,116229557118,37528933631,2289039140,6623848143,4423526761,1417275459,101556350,3786392325,2704480624
05/04/2018,11019780660,19383102419,115524404354,37802008408,2292927280,6665917788,4951775509,1447875513,100423750,3671972037,2756100111
06/04/2018,10413379219,18625841555,112565173568,36532478896,2289633797,6333258411,4566947785,1425181248,96271700,3586213423,2576595427
07/04/2018,10925007141,19072926493,117241368688,38023057371,2286326591,6508657630,4594063752,1448119662,106443400,3744677904,2705866284
08/04/2018,11180534840,19562819931,119162880482,39530560784,2279842547,6589392072,4663653763,1408811614,114482900,3828492568,2767651311
09/04/2018,10870684888,19228835441,114886335694,39343018191,2281548754,6440841467,4596840720,1379827596,109034800,3660718970,2658477488
10/04/2018,11086647103,19231806625,115978358964,40903130396,2281093613,6401817412,4708293313,1399347919,124542600,3698079756,2635244346
11/04/2018,11377412411,21091728443,118267198080,42521044920,2287712599,6628996616,6678192028,1421984054,125750450,3939116966,2693011159
12/04/2018,12537506749,24597948740,133912618634,48693844481,2279892864,7249888005,6862859537,1505878427,135383850,4493636670,3056331382
13/04/2018,12604116397,24963746873,134043001354,48683660481,2284613523,7028553368,6915691372,1573810083,133540050,4571061714,3007988430
14/04/2018,12617189720,24732805014,135589384440,49557725333,2286605623,7083109035,6820114999,1539815189,137902450,4652318880,3033464639
15/04/2018,13332965082,26702637741,141427138383,52555419462,2283943391,7407732783,6677275381,1489242399,148381100,5395711197,3196608691
16/04/2018,13089241458,25950032534,136849408643,50534185799,2281633378,7201443158,6470849007,1392444152,143338300,5273857670,3093384517
17/04/2018,12938925099,25701055067,134206623206,49728519115,2283838182,7461107435,6810616224,1342197560,145877900,5574193666,3120365959
18/04/2018,15183404214,27735401282,138661092884,51904227886,2281672260,7860031849,7242534653,1399936665,156201500,6527764923,3640750303
19/04/2018,16547121874,30984314668,140902801023,56178772001,2280702512,8216206205,7595983274,1408706440,168978250,6798564855,3805112580
20/04/2018,19271883294,36167654650,150287113368,60922818296,2283339585,8737234629,9235510267,1434092031,168495600,7263791134,4338350444
21/04/2018,19729798322,34158229655,151150137128,59913832194,2284885693,8368621973,8986678438,1525689996,171972150,6975926123,4118666854
22/04/2018,20527017940,34036636008,149585589886,61556034015,2278440530,8249632683,9199206096,1468384247,174758850,6836209709,4329350423
23/04/2018,24477753078,34317793232,151784994312,63617020167,2282216599,8559830144,9433568181,1553846790,172334750,6910289168,4521764826
24/04/2018,24380281489,36593127159,164833256250,70127342534,2298027604,9323040641,12471545367,1740954335,187888400,7440628098,4726092120
25/04/2018,21962007542,31340724464,150369282696,60955966711,2397342013,8142994938,11811154567,1515711383,152028450,6304992289,4106018095
26/04/2018,24282832217,33368771823,157793327246,65663946135,2416207797,8646685578,12682011040,1671115449,171551800,7197177341,4284652704
27/04/2018,22873890375,31860507753,152802874822,64114105428,2427171948,8211418534,13682818488,1634109050,158201750,7262888447,4023636239
28/04/2018,23874967438,33814647080,158963068374,67759208004,2415533415,8573467173,15522655405,1733439014,169566600,7965525229,4178340973
29/04/2018,24630696326,34165945109,160182287342,68289153706,2412345206,8650921305,17769451250,1717028472,180499900,8513162207,4105183265
30/04/2018,23089803896,32802091383,157163847314,66423712256,2414527884,8363095109,14536328263,1632170348,190641850,7886506767,3875582215
01/05/2018,23113272798,32944324345,155114132125,66803233984,2425576635,8365945726,15711518382,1615315046,192640350,8166623313,3841343353
02/05/2018,24953703084,33636838508,157119854754,68159979253,2311264544,8542044175,15961145534,1643243757,197645350,8157279931,3992528815
03/05/2018,25867122953,34651838439,165778380092,77340839220,2312443969,9101264231,14799000063,1671001407,198684150,8122976380,3934424837
04/05/2018,25961592167,35081859015,165062796742,77960306236,2263878398,9516919409,14319584039,1634154667,203904050,8007124717,3863990606
05/05/2018,29981891398,35460360179,167759953654,81003446783,2258716118,10025761273,14894964551,1638625085,200037250,8002220722,3852847483
06/05/2018,30217488953,34140875579,164316605278,78656662788,2190993214,9692232318,14658734341,1590032091,188439650,7669220382,3768995961
